T460, Perl 1, Programming Language, Perl, 1
T461, Perl 2, Programming Language, Perl, 2
T462, Perl 3, Programming Language, Perl, 3
T463, Perl 4, Programming Language, Perl, 4
T464, Perl 5, Programming Language, Perl, 5
T465, Javascript 1, Programming Language, Javascript, 1
T466, Javascript 1.1, Programming Language, Javascript, 1.1
T467, Javascript 1.2, Programming Language, Javascript, 1.2
T468, Javascript 1.3, Programming Language, Javascript, 1.3
T469, Javascript 1.4, Programming Language, Javascript, 1.4
T470, Javascript 1.5, Programming Language, Javascript, 1.5
T471, Javascript 1.6, Programming Language, Javascript, 1.6
T472, Javascript 1.7, Programming Language, Javascript, 1.7
T473, Javascript 1.8, Programming Language, Javascript, 1.8
T474, Javascript 01/08/01, Programming Language, Javascript, 01/08/01
T475, Javascript 01/08/02, Programming Language, Javascript, 01/08/02
T476, Javascript 01/08/05, Programming Language, Javascript, 01/08/05
T477, PHP 1, Programming Language, PHP, 1
T478, PHP 2, Programming Language, PHP, 2
T479, PHP 3, Programming Language, PHP, 3
T480, PHP 4, Programming Language, PHP, 4
T481, PHP 5, Programming Language, PHP, 5
T482, Java JDK 1.0, Programming Language, Java, JDK 1.0
T483, Java JDK 1.1, Programming Language, Java, JDK 1.1
T484, Java J2SE 1.2, Programming Language, Java, J2SE 1.2
T485, Java J2SE 1.3, Programming Language, Java, J2SE 1.3
T486, Java J2SE 1.4, Programming Language, Java, J2SE 1.4
T487, Java J2SE 5.0, Programming Language, Java, J2SE 5.0
T488, Java SE 6, Programming Language, Java, SE 6
T489, Java SE 7.0, Programming Language, Java, SE 7.0
T490, Python 1, Programming Language, Python, 1
T491, Python 2.2, Programming Language, Python, 2.2
T492, Python 2.4, Programming Language, Python, 2.4
T493, Python 2.5, Programming Language, Python, 2.5
T494, Python 2.6, Programming Language, Python, 2.6
T495, Python 2.7, Programming Language, Python, 2.7
T496, Python 3, Programming Language, Python, 3
T497, Ruby 1, Programming Language, Ruby, 1
T498, Ruby 1.1, Programming Language, Ruby, 1.1
T499, Ruby 1.2, Programming Language, Ruby, 1.2
T500, Ruby 1.3, Programming Language, Ruby, 1.3
T501, Ruby 1.4, Programming Language, Ruby, 1.4
T502, Ruby 1.5, Programming Language, Ruby, 1.5
T503, Ruby 1.6, Programming Language, Ruby, 1.6
T504, Ruby 1.7, Programming Language, Ruby, 1.7
T505, Ruby 1.8, Programming Language, Ruby, 1.8
T506, CSS CSS1, Programming Language, CSS, CSS1
T507, CSS CSS2, Programming Language, CSS, CSS2
T508, CSS CSS3, Programming Language, CSS, CSS3
T509, Max/MSP 4.3, Programming Language, Max/MSP, 4.3
T510, Max/MSP 4.5, Programming Language, Max/MSP, 4.5
T511, Max/MSP 4.6, Programming Language, Max/MSP, 4.6
T512, Max/MSP 4.1, Programming Language, Max/MSP, 4.1
T513, Max/MSP 5, Programming Language, Max/MSP, 5
T514, Jitter 4.6, Programming Language, Jitter, 4.6
T515, Jitter 5, Programming Language, Jitter, 5
T516, Jitter 1.2.1 windows, Programming Language, Jitter, 1.2.1 windows
T517, Jitter 1.5 windows, Programming Language, Jitter, 1.5 windows
T518, Jitter 1.5.2 windows, Programming Language, Jitter, 1.5.2 windows
T519, Jitter 1.1.1 mac, Programming Language, Jitter, 1.1.1 mac
T520, Jitter 1.2.4 mac and windows, Programming Language, Jitter, 1.2.4 mac and windows
T521, Jitter 1.5.2 mac and windows, Programming Language, Jitter, 1.5.2 mac and windows
T522, Jitter 1.6.2 mac and windows, Programming Language, Jitter, 1.6.2 mac and windows
T584, C++ ISO/IEC 14882:2006, Programming Language, C++, ISO/IEC 14882:2006
T585, C# .NET 2002, Programming Language, C#, .NET 2002
T586, C# .NET 2003, Programming Language, C#, .NET 2003
T14, DHMTL , Mark up language, DHMTL, DHMTL
T15, HTML 2, Mark up language, HTML, 2
T16, HTML 3.2, Mark up language, HTML, 3.2
T17, HTML 4, Mark up language, HTML, 4
T18, HTML 4.01, Mark up language, HTML, 4.01
T19, HTML 5, Mark up language, HTML, 5
T20, XML 1, Mark up language, XML, 1
T932, Javascript, Programming Language, Javascript, Unknown
T933, C: Unknown, Programming Language, C, Unknown
T934, HTML (version unknown), Mark up language, HTML, Unknown
T935, Jquery v1.7.1, JavaScript Library, Jquery, 1.7.1T